row_index,brand,model,fuel,year,km,power_kw,inventory_price_eur,source,comparable_count,market_median,market_p25,market_p75,estimated_market_price,confidence,insufficient_sample,unknown_year_km_frac,price_difference,undervaluation_pct,cross_source_note,example_links,retrieval_error
61,Kia,Sportage,Diesel,2019,141000,100.0,11800,autobazar,1,15490.0,15490.0,15490.0,15490.0,low,True,0.0,3690.0,23.8,,https://www.autobazar.eu/detail/kia-sportage-16-crdi-at-gold-slovenske-vozidlo/Am694YQ_UKR/,
61,Kia,Sportage,Diesel,2019,141000,100.0,11800,bazos,0,,,,,none,True,1.0,,,,,
41,Dacia,Duster,Petrol,2024,24000,109.0,17600,autobazar,0,,,,,none,True,1.0,,,,,
41,Dacia,Duster,Petrol,2024,24000,109.0,17600,bazos,0,,,,,none,True,1.0,,,,,
0,Hyundai,I30,Petrol,2023,122000,88.0,11600,autobazar,1,13000.0,13000.0,13000.0,13000.0,low,True,0.0,1400.0,10.8,15% median spread AB vs BZ,https://www.autobazar.eu/detail/hyundai-i30-10-t-gdi-family-automat-sr2maj/AexjIfdhNIHq/,
0,Hyundai,I30,Petrol,2023,122000,88.0,11600,bazos,3,10990.0,10862.5,10990.0,10990.0,low,True,0.0,-610.0,-5.6,15% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194131136/hyundai-i30-cw-10-t-gdi-family-povodny-lak-137-420km-sr.php | https://auto.bazos.sk/inzerat/194160059/hyundai-i30-cw-10-t-gdi-comfort-v-zaruke-povodny-lak-sr.php | https://auto.bazos.sk/inzerat/194368942/hyundai-i30-wg-10t-gdi-88kw-cr-dph-tazne-klima.php,
3,Honda,Jazz,Petrol,2017,84748,74.0,6000,autobazar,0,,,,,none,True,1.0,,,,,
3,Honda,Jazz,Petrol,2017,84748,74.0,6000,bazos,2,5995.0,5747.5,6242.5,5995.0,low,True,1.0,-5.0,-0.1,,https://auto.bazos.sk/inzerat/194375924/honda-jazz.php | https://auto.bazos.sk/inzerat/194190905/honda-jazz-12-i-vtec-66kw-m5-2012.php,
4,Toyota,Rav4,Hybrid,2019,93545,,17000,autobazar,0,,,,,none,True,1.0,,,,,
4,Toyota,Rav4,Hybrid,2019,93545,,17000,bazos,2,16125.0,10737.5,21512.5,16125.0,low,True,0.5,-875.0,-5.4,,https://auto.bazos.sk/inzerat/194004541/toyota-rav4.php | https://auto.bazos.sk/inzerat/193577804/toyota-rav4-25hybrid-awd-executive-4x4-top-stav.php,
6,Toyota,Auris,Hybrid,2015,150000,72.0,7200,autobazar,0,,,,,none,True,1.0,,,,,
6,Toyota,Auris,Hybrid,2015,150000,72.0,7200,bazos,0,,,,,none,True,1.0,,,,,
21,Renault,Mégane,PHEV,2020,99000,118.0,11500,autobazar,0,,,,,none,True,1.0,,,,,
21,Renault,Mégane,PHEV,2020,99000,118.0,11500,bazos,0,,,,,none,True,1.0,,,,,
77,VW,ID.3,Electric,2021,213000,150.0,9000,autobazar,0,,,,,none,True,1.0,,,,,
77,VW,ID.3,Electric,2021,213000,150.0,9000,bazos,2,15590.0,15140.0,16040.0,15590.0,low,True,0.0,6590.0,42.3,,https://auto.bazos.sk/inzerat/194283868/volkswagen-id3-1st-plus-150kw-soh-926.php | https://auto.bazos.sk/inzerat/194072870/vw-id-3-1-st-150-kw.php,
14,BMW,X1,Petrol,2018,119000,102.0,11500,autobazar,2,16550.0,15825.0,17275.0,16550.0,low,True,0.0,5050.0,30.5,9% median spread AB vs BZ,https://www.autobazar.eu/detail/bmw-x1-sdrive-18i-140k-xline-at-103kw140hp-a6/AeNbL8OsfPl/ | https://www.autobazar.eu/detail/bmw-x1-sdrive-18i-at-103kw140hp-a7/AeQsVgfz4x8/,
14,BMW,X1,Petrol,2018,119000,102.0,11500,bazos,2,15045.0,15017.5,15072.5,15045.0,low,True,0.5,3545.0,23.6,9% median spread AB vs BZ,https://auto.bazos.sk/inzerat/194137635/bmw-x1.php | https://auto.bazos.sk/inzerat/194316389/bmw-x1-sdrive-18i-140k-xline-at-103kw140hp-a6.php,
57,VW,Passat,Diesel,2006,386000,103.0,900,autobazar,0,,,,,none,True,1.0,,,,,
57,VW,Passat,Diesel,2006,386000,103.0,900,bazos,0,,,,,none,True,1.0,,,,,
