row_index,brand,model,variant,fuel,year,km,power_kw,inventory_price_eur,ab_tier,ab_comparable_count,ab_median_eur,ab_price_diff_pct,ab_insufficient,ab_unknown_frac,ab_outliers_trimmed,bz_tier,bz_comparable_count,bz_median_eur,bz_price_diff_pct,bz_insufficient,bz_unknown_frac,bz_outliers_trimmed,median_spread_pct,ab_vs_bz_pct_gap,missing_critical_fields,sample_sufficient,confidence_flag,confidence_reasons,rank_source,rank_price_diff_pct,ab_example_links,bz_example_links,ab_retrieval_error,bz_retrieval_error
0,Hyundai,I30,1.0 119HP Automatic Advanced,Petrol,2023,122000,88.0,11600,broad,5,15490.0,25.1,False,0.0,1,moderate,4,10990.0,-5.6,False,0.0,0,29.1,30.7,none,True,MEDIUM,"moderate source disagreement 29%; sample n=5, data complete",autobazar,25.1,https://www.autobazar.eu/detail/hyundai-i30-rv-20225-15l-81kw-odpocet-dph-zaruka-3roky/AeQ6rKyfStD/ | https://www.autobazar.eu/detail/hyundai-i30-15i-cvvt-comfort/AmCLHBbUbDL/ | https://www.autobazar.eu/detail/hyundai-i30-16-t-gdi-7-dct/Am1ZsUdsxY8/,https://auto.bazos.sk/inzerat/194354609/hyundai-i30-cw-15i-cvvt-comfort.php | https://auto.bazos.sk/inzerat/194131136/hyundai-i30-cw-10-t-gdi-family-povodny-lak-137-420km-sr.php | https://auto.bazos.sk/inzerat/194160059/hyundai-i30-cw-10-t-gdi-comfort-v-zaruke-povodny-lak-sr.php,,
1,Nissan,X-Trail,1.3 157HP Automatic Acenta,Petrol,2020,80809,115.0,12950,broad,2,14000.0,7.5,True,0.0,0,broad,1,11990.0,-8.0,True,1.0,0,14.4,15.5,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",autobazar,7.5,https://www.autobazar.eu/detail/nissan-x-trail-benzin-16-163k-manual-n-connecta/AewVPnEv70R/ | https://www.autobazar.eu/detail/nissan-x-trail-16-dig-t-servkniha-klima-tempomat/Aeaio_RH41a/,https://auto.bazos.sk/inzerat/194369413/nissan-x-trail-dig-t-160-acenta.php,,
2,Mazda,Cx-5,2.0 163HP Manual Optimum,Petrol,2020,100012,120.0,15950,broad,4,22749.5,29.9,False,0.0,0,broad,5,20990.0,24.0,False,0.8,0,7.7,5.9,none,True,HIGH,both sources usable (AB 4/BZ 5); median spread 8% <= 15%; inventory + comparable data complete,bazos,24.0,https://www.autobazar.eu/detail/mazda-cx-5-25-skyactiv-g194-attraction-at/AmSckmBGhO6/ | https://www.autobazar.eu/detail/mazda-cx-5-20-skyactiv-g165-newground-at-121kw165hp-a6/AeMB2q_cU0U/ | https://www.autobazar.eu/detail/mazda-cx-5-25-skyactiv-g194-revolution-plus-awd-at-143kw193hp-a6/AelomuZNayM/,https://auto.bazos.sk/inzerat/194336903/mazda-cx-5.php | https://auto.bazos.sk/inzerat/193955056/mazda-cx-5-awd-benzin-143kw-4x4-automat-1-majitel.php | https://auto.bazos.sk/inzerat/194430475/mazda-cx-5-22-skyactiv-d-110kw-rv2020.php,,
3,Honda,Jazz,1.3 101HP Manual Comfort,Petrol,2017,84748,74.0,6000,broad,3,6900.0,13.0,True,0.0,0,broad,4,7695.0,22.0,False,1.0,0,10.3,-9.0,none,True,LOW,100% of comparables missing year/km; best sample n=4,bazos,22.0,https://www.autobazar.eu/detail/honda-jazz-12-i-vtec-sr2maj-servkniha-klima/Aeu4ack3AfZ/ | https://www.autobazar.eu/detail/honda-jazz-12-i-vtec-sr2maj-servkniha-klima/AeGP-GnmS9X/ | https://www.autobazar.eu/detail/honda-jazz-15-i-vtec-dynamic/AmINI7SdreX/,https://auto.bazos.sk/inzerat/194471063/honda-jazz-13-benzin.php | https://auto.bazos.sk/inzerat/194375924/honda-jazz.php | https://auto.bazos.sk/inzerat/194325548/honda-jazz-13-i-vtec-trend.php,,
4,Toyota,Rav4,2.5  Automatic H3 Selected,Hybrid,2019,93545,,17000,broad,9,29990.0,43.3,False,0.0,0,broad,3,26900.0,36.8,True,0.33,0,10.3,6.5,none,True,MEDIUM,"single usable source (AB 9/BZ 3); no cross-check; sample n=9, data complete",autobazar,43.3,https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-selection-fwd-131kw176hp-a1/AevJbDwVFCg/ | https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-awd-comfort-povodny-lak-92-260km-sr/AmFzGwgwvn_/ | https://www.autobazar.eu/detail/toyota-rav4-25-hybrid-e-cvt-black-edition-awd-131kw176hp-a1/AeFmmK5bOim/,https://auto.bazos.sk/inzerat/194004541/toyota-rav4.php | https://auto.bazos.sk/inzerat/194372892/toyota-rav4-25-hybrid-e-cvt-awd-comfort-povodny-lak-sr.php | https://auto.bazos.sk/inzerat/193577804/toyota-rav4-25hybrid-awd-executive-4x4-top-stav.php,,
5,Subaru,Impreza,2.0 154HP Automatic Active,Petrol,2019,66220,113.0,11000,broad,0,,,True,1.0,0,broad,1,28800.0,61.8,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",bazos,61.8,,https://auto.bazos.sk/inzerat/194408768/subaru-impreza-wtx-sti-white-edition.php,,
6,Toyota,Auris,1.8 98HP Manual H2 Premium,Hybrid,2015,150000,72.0,7200,moderate,4,12822.5,43.8,False,0.0,0,broad,3,7300.0,1.4,True,0.67,0,43.1,42.4,none,True,MEDIUM,"single usable source (AB 4/BZ 3); no cross-check; sample n=4, data complete",autobazar,43.8,https://www.autobazar.eu/detail/toyota-auris-18-i-vvt-i-hybridsd-active-family-73kw99hp-a1/Ae4sVj12Z3P/ | https://www.autobazar.eu/detail/toyota-auris-2017/AeySZuKHjOt/ | https://www.autobazar.eu/detail/toyota-auris-18-hybridkameraaut-klima/AbxWRyFgaZE/,https://auto.bazos.sk/inzerat/194454129/toyota-auris-14-66kw-d4d.php | https://auto.bazos.sk/inzerat/194399342/predam-toyota-auris-hybrid-2014-s-lpg-plyn.php | https://auto.bazos.sk/inzerat/194370682/toyota-auris-combi-18-hybrid.php,,
7,Peugeot,2008,1.2 100HP Manual Allure,Petrol,2024,42385,74.0,13400,moderate,6,21490.0,37.6,False,0.83,0,broad,3,15490.0,13.5,True,0.75,1,27.9,24.1,none,True,LOW,83% of comparables missing year/km; best sample n=6,autobazar,37.6,https://www.autobazar.eu/detail/peugeot-2008-style-12-turbo-100-bvm6/Am8R3937wxy/ | https://www.autobazar.eu/detail/peugeot-2008-style-12-turbo-100-bvm6/Amt2sq0z4sV/ | https://www.autobazar.eu/detail/peugeot-2008-allure-pack-12-puretech-100k-bvm6/AmFgoSU-YLz/,https://auto.bazos.sk/inzerat/194409350/peugeot-2008-12-puretech-130-gt-eat8-96kw130hp-a8.php | https://auto.bazos.sk/inzerat/194170883/peugeot-308-16-benzin.php | https://auto.bazos.sk/inzerat/193237967/peugeot-2008-15-bluehdi-54-380-km-odpocet-dph.php,,
8,Skoda,Karoq,1.5 148HP Automatic STYLE,Petrol,2020,112000,109.0,15000,moderate,6,20745.0,27.7,False,0.0,0,broad,6,20994.5,28.6,False,0.17,0,1.2,-0.9,none,True,HIGH,both sources usable (AB 6/BZ 6); median spread 1% <= 15%; inventory + comparable data complete,autobazar,27.7,https://www.autobazar.eu/detail/skoda-karoq-15-tsi-act-style-dsg-110kw150hp-a7/Ae7Ay7bnle6/ | https://www.autobazar.eu/detail/skoda-karoq-15-tsi-act-sportline-dsg/AmM2dFvi-0r/ | https://www.autobazar.eu/detail/skoda-karoq-style-15-tsi-110-kw-7-stup-automat/AeiHjbLkYrp/,https://auto.bazos.sk/inzerat/194392972/skoda-karoq-sportline-15tsi-rv1572020-179tis-virtual.php | https://auto.bazos.sk/inzerat/194370105/predam-skoda-karoq-sportline.php | https://auto.bazos.sk/inzerat/194287106/skoda-karoq-15-tsi-act-sportline-dsg.php,,
9,Seat,Toledo,"1,2 TSI Style Start/Stop 110HK 5d 6g",Petrol,2016,160000,81.0,4500,moderate,6,6450.0,30.2,False,0.0,1,broad,0,,,True,1.0,0,,,none,True,MEDIUM,"single usable source (AB 6/BZ 0); no cross-check; sample n=6, data complete",autobazar,30.2,https://www.autobazar.eu/detail/seat-toledo-12-tsi-reference/AeN3O4rSnJ2/ | https://www.autobazar.eu/detail/seat-toledo-12-tsi-servkniha-park-senzory/AmnEOHys0iu/ | https://www.autobazar.eu/detail/seat-toledo-12-tsi-servkniha-klima-po-stk/AehBhD_QSWr/,,,
